index,movie_title,release_date,genre,inflation_adjusted_gross,divided
239,Spy Hard,1996,Comedy,51373912,51373,912
240,Eddie,1996,Comedy,59828966,59828,966
241,The Rock,1996,Action,255702705,255702,705
242,The Hunchback of Notre Dame,1996,Adventure,190988799,190988,799
243,Phenomenon,1996,Drama,199559799,199559,799
244,Kazaam,1996,Comedy,36009655,36009,655
245,Jack,1996,Drama,111792852,111792,852
246,First Kid,1996,Comedy,50465108,50465,108
247,The Rich Mans Wife,1996,Thriller/Suspense,16284619,16284,619
248,D3: The Mighty Ducks,1996,Comedy,43713554,43713,554
249,The Associate,1996,Comedy,24333094,24333,094
250,Ransom,1996,Action,259807820,259807,82
251,The War at Home,1996,Unknown,65543,65,543
252,101 Dalmatians,1996,Comedy,258728898,258728,898
253,The Preachers Wife,1996,Drama,91076877,91076,877
254,Evita,1996,Musical,92077628,92077,628
255,Metro,1997,Action,58804106,58804,106
256,Prefontaine,1997,Drama,1085093,1085,093
257,Shadow Conspiracy,1997,Thriller/Suspense,3957025,3957,025
258,That Darn Cat,1997,Comedy,33613158,33613,158
259,Jungle 2 Jungle,1997,Comedy,110058379,110058,379
260,The Sixth Man,1997,Comedy,27117599,27117,599
261,Grosse Pointe Blank,1997,Black Comedy,51579764,51579,764
262,Romy and Micheles High School Reunion,1997,Comedy,53693680,53693,68
263,Gone Fishin,1997,Comedy,36265379,36265,379
264,Con Air,1997,Action,185712664,185712,664
265,Hercules,1997,Adventure,182029412,182029,412
266,George Of The Jungle,1997,Comedy,193326632,193326,632
267,Nothing To Lose,1997,Comedy,81692095,81692,095
268,Air Bud,1997,Comedy,45266588,45266,588
269,GI Jane,1997,Drama,88467531,88467,531
270,A Thousand Acres,1997,Drama,14561324,14561,324
271,Washington Square,1997,Drama,3257546,3257,546
272,Rocket Man,1997,Comedy,28371890,28371,89
273,Playing God,1997,Thriller/Suspense,7652965,7652,965
274,Flubber,1997,Comedy,170406423,170406,423
275,An American Werewolf in Paris,1997,Horror,48546161,48546,161
276,Mr Magoo,1997,Comedy,39145784,39145,784
277,Kundun,1997,Drama,10236836,10236,836
278,Deep Rising,1998,Action,20136775,20136,775
279,Krippendorfs Tribe,1998,Comedy,13608633,13608,633
280,An Alan Smithee Film: Burn Hollywood Burn,1998,Comedy,82277,82,277
281,Meet the Deedles,1998,Comedy,7829877,7829,877
282,He Got Game,1998,Drama,38766948,38766,948
283,The Horse Whisperer,1998,Drama,135497531,135497,531
284,Six Days Seven Nights,1998,Romantic Comedy,133620516,133620,516
285,Mulan,1998,Adventure,216807832,216807,832
286,Armageddon,1998,Adventure,362324957,362324,957
287,Jane Austens Mafia,1998,Comedy,35668055,35668,055
288,The Parent Trap,1998,Comedy,119185667,119185,667
289,Firelight,1998,Drama,1409943,1409,943
290,Simon Birch,1998,Drama,32809442,32809,442
291,Holy Man,1998,Comedy,21694605,21694,605
292,Beloved,1998,Drama,41062682,41062,682
293,The Waterboy,1998,Comedy,288691833,288691,833
294,Ill Be Home For Christmas,1998,Comedy,21941840,21941,84
295,A Bugs Life,1998,Adventure,288981698,288981,698
296,Enemy of the State,1998,Action,198472008,198472,008
297,Rushmore,1998,Black Comedy,28392518,28392,518
298,A Civil Action,1998,Drama,94139530,94139,53
299,Mighty Joe Young,1998,Adventure,87906042,87906,042
300,My Favorite Martian,1999,Comedy,61150849,61150,849
301,The Other Sister,1999,Romantic Comedy,46145331,46145,331
302,Dougs 1st Movie,1999,Adventure,32228598,32228,598
303,Ten Things I Hate About You,1999,Romantic Comedy,63354375,63354,375
304,Endurance,1999,Unknown,380218,380,218
305,Instinct,1999,Drama,56595842,56595,842
306,Tarzan,1999,Adventure,283900254,283900,254
307,Summer of Sam,1999,Drama,32007656,32007,656
308,Inspector Gadget,1999,Comedy,161610341,161610,341
309,The Sixth Sense,1999,Thriller/Suspense,485424724,485424,724
310,The 13th Warrior,1999,Action,54262148,54262,148
311,Breakfast of Champions,1999,Comedy,295851,295,851
312,Mumford,1999,Comedy,7566363,7566,363
313,Mystery Alaska,1999,Comedy,14755189,14755,189
314,The Straight Story,1999,Drama,10111144,10111,144
315,The Insider,1999,Drama,47794214,47794,214
316,Toy Story 2,1999,Adventure,404450426,404450,426
317,Cradle Will Rock,1999,Drama,4609153,4609,153
318,Deuce Bigalow: Male Gigolo,1999,Comedy,106921374,106921,374
319,Bicentennial Man,1999,Drama,94838225,94838,225
320,Play it to the Bone,1999,Comedy,13180524,13180,524
321,Fantasia 2000 (IMAX),2000,Musical,94852354,94852,354
